"Num_of_total" "Num_of_defects" "First_day_of_the_group" "Phase" "exclusion" "Comment"
"1" 1 0 2010-08-30 1 "No" "NA"
"2" 1 0 2010-09-06 1 "No" "NA"
"3" 153 9 2010-09-27 1 "No" "NA"
"4" 87 3 2010-10-11 1 "No" "NA"
"5" 106 0 2010-10-18 1 "No" "NA"
"6" 28 0 2010-10-25 1 "No" "NA"
"7" 80 4 2010-11-01 1 "No" "NA"
"8" 239 23 2010-11-08 1 "No" "NA"
"9" 93 34 2010-11-15 1 "No" "NA"
"10" 72 23 2010-11-22 1 "No" "NA"
"11" 121 26 2010-11-29 1 "No" "NA"
"12" 418 102 2010-12-06 1 "No" "NA"
"13" 144 30 2010-12-13 1 "No" "NA"
"14" 155 26 2010-12-20 1 "No" "NA"
"15" 61 4 2010-12-27 1 "No" "NA"
"16" 172 25 2011-01-03 1 "No" "NA"
"17" 532 75 2011-01-10 1 "No" "NA"
"18" 372 136 2011-01-17 1 "No" "NA"
"19" 275 43 2011-01-24 1 "No" "NA"
"20" 129 5 2011-01-31 1 "No" "NA"
"21" 305 50 2011-02-07 1 "No" "NA"
"22" 208 47 2011-02-14 2 "No" "NA"
"23" 541 80 2011-02-21 2 "No" "NA"
"24" 235 53 2011-02-28 2 "No" "NA"
"25" 321 73 2011-03-07 2 "No" "NA"
"26" 772 107 2011-03-14 2 "No" "NA"
"27" 367 39 2011-03-21 2 "No" "NA"
"28" 448 39 2011-03-28 2 "No" "NA"
"29" 666 91 2011-04-04 2 "No" "NA"
"30" 535 63 2011-04-11 2 "No" "NA"
"31" 571 80 2011-04-18 2 "No" "NA"
"32" 208 48 2011-04-25 2 "No" "NA"
"33" 526 72 2011-05-02 2 "No" "NA"
"34" 205 14 2011-05-09 2 "No" "NA"
"35" 364 33 2011-05-16 2 "No" "NA"
"36" 281 26 2011-05-23 2 "No" "NA"
"37" 438 45 2011-05-30 2 "No" "NA"
"38" 547 64 2011-06-06 2 "No" "NA"
"39" 417 52 2011-06-13 2 "No" "NA"
"40" 357 27 2011-06-20 2 "No" "NA"
"41" 340 18 2011-06-27 2 "No" "NA"
"42" 498 34 2011-07-04 2 "No" "NA"
"43" 463 86 2011-07-11 3 "No" "NA"
"44" 290 42 2011-07-18 3 "No" "NA"
"45" 413 48 2011-07-25 3 "No" "NA"
"46" 429 37 2011-08-01 3 "No" "NA"
"47" 454 52 2011-08-08 3 "No" "NA"
"48" 311 34 2011-08-15 3 "No" "NA"
"49" 429 60 2011-08-22 3 "No" "NA"
"50" 338 46 2011-08-29 3 "No" "NA"
"51" 510 177 2011-09-05 3 "No" "NA"
"52" 370 118 2011-09-12 3 "No" "NA"
"53" 738 74 2011-09-19 3 "No" "NA"
"54" 506 78 2011-09-26 3 "No" "NA"
"55" 424 100 2011-10-03 3 "No" "NA"
"56" 508 64 2011-10-10 3 "No" "NA"
"57" 1054 122 2011-10-17 3 "No" "NA"
"58" 883 123 2011-10-24 3 "No" "NA"
"59" 221 56 2011-10-31 3 "No" "NA"
"60" 266 55 2011-11-07 3 "Yes" "NA"
"61" 333 56 2011-11-14 3 "No" "NA"
"62" 320 108 2011-11-21 3 "No" "NA"
"63" 379 130 2011-11-28 3 "No" "NA"
"64" 310 34 2011-12-05 3 "No" "NA"
