"Num_of_total" "Num_of_defects" "First_day_of_the_group" "Phase" "exclusion" "Comment"
"1" 400 0 "2010-08-30" 1 "No" NA
"2" 400 0 "2010-09-06" 1 "No" NA
"3" 400 9 "2010-09-27" 1 "No" NA
"4" 400 3 "2010-10-11" 1 "No" NA
"5" 400 0 "2010-10-18" 1 "No" NA
"6" 400 0 "2010-10-25" 1 "No" NA
"7" 400 4 "2010-11-01" 1 "No" NA
"8" 400 23 "2010-11-08" 1 "No" NA
"9" 400 34 "2010-11-15" 1 "No" NA
"10" 400 23 "2010-11-22" 1 "No" NA
"11" 400 26 "2010-11-29" 1 "No" NA
"12" 400 102 "2010-12-06" 1 "No" NA
"13" 400 30 "2010-12-13" 1 "No" NA
"14" 400 26 "2010-12-20" 1 "No" NA
"15" 400 4 "2010-12-27" 1 "No" NA
"16" 400 25 "2011-01-03" 1 "No" NA
"17" 400 75 "2011-01-10" 1 "No" NA
"18" 400 136 "2011-01-17" 1 "No" NA
"19" 400 43 "2011-01-24" 1 "No" NA
"20" 400 5 "2011-01-31" 1 "No" NA
"21" 400 50 "2011-02-07" 1 "No" NA
"22" 400 47 "2011-02-14" 2 "No" NA
"23" 400 80 "2011-02-21" 2 "No" NA
"24" 400 53 "2011-02-28" 2 "No" NA
"25" 400 73 "2011-03-07" 2 "No" NA
"26" 400 107 "2011-03-14" 2 "No" NA
"27" 400 39 "2011-03-21" 2 "No" NA
"28" 400 39 "2011-03-28" 2 "No" NA
"29" 400 91 "2011-04-04" 2 "No" NA
"30" 400 63 "2011-04-11" 2 "No" NA
"31" 400 80 "2011-04-18" 2 "No" NA
"32" 400 48 "2011-04-25" 2 "No" NA
"33" 400 72 "2011-05-02" 2 "No" NA
"34" 400 14 "2011-05-09" 2 "No" NA
"35" 400 33 "2011-05-16" 2 "No" NA
"36" 400 26 "2011-05-23" 2 "No" NA
"37" 400 45 "2011-05-30" 2 "No" NA
"38" 400 64 "2011-06-06" 2 "No" NA
"39" 400 52 "2011-06-13" 2 "No" NA
"40" 400 27 "2011-06-20" 2 "No" NA
"41" 400 18 "2011-06-27" 2 "No" NA
"42" 400 34 "2011-07-04" 2 "No" NA
"43" 400 86 "2011-07-11" 3 "No" NA
"44" 400 42 "2011-07-18" 3 "No" NA
"45" 400 48 "2011-07-25" 3 "No" NA
"46" 400 37 "2011-08-01" 3 "No" NA
"47" 400 52 "2011-08-08" 3 "No" NA
"48" 400 34 "2011-08-15" 3 "No" NA
"49" 400 60 "2011-08-22" 3 "No" NA
"50" 400 46 "2011-08-29" 3 "No" NA
"51" 400 177 "2011-09-05" 3 "No" NA
"52" 400 118 "2011-09-12" 3 "No" NA
"53" 400 74 "2011-09-19" 3 "No" NA
"54" 400 78 "2011-09-26" 3 "No" NA
"55" 400 100 "2011-10-03" 3 "No" NA
"56" 400 64 "2011-10-10" 3 "No" NA
"57" 400 122 "2011-10-17" 3 "No" NA
"58" 400 123 "2011-10-24" 3 "No" NA
"59" 400 56 "2011-10-31" 3 "No" NA
"60" 400 55 "2011-11-07" 3 "Yes" NA
"61" 400 56 "2011-11-14" 3 "No" NA
"62" 400 108 "2011-11-21" 3 "No" NA
"63" 400 130 "2011-11-28" 3 "No" NA
"64" 400 34 "2011-12-05" 3 "No" NA
